# Frequency[Hz] Amplitude
0.000000000000000000e+00 1.618000000000058280e-02
5.000000000000000278e-02 3.226445958268824715e-02
1.000000000000000056e-01 3.198332254886376846e-02
1.500000000000000222e-01 3.153196106239164465e-02
2.000000000000000111e-01 3.093284079315844828e-02
2.500000000000000000e-01 3.021205967254854408e-02
3.000000000000000444e-01 2.939625168312579723e-02
3.500000000000000333e-01 2.851042757100368669e-02
4.000000000000000222e-01 2.757681427360512971e-02
4.500000000000000111e-01 2.661445402805796834e-02
5.000000000000000000e-01 2.563925653776470345e-02
5.500000000000000444e-01 2.466426253007434483e-02
6.000000000000000888e-01 2.369997388780679601e-02
6.500000000000000222e-01 2.275468206870646590e-02
7.000000000000000666e-01 2.183477121344301261e-02
7.500000000000000000e-01 2.094499240828338882e-02
8.000000000000000444e-01 2.008871171298601960e-02
8.500000000000000888e-01 1.926813477369885425e-02
9.000000000000000222e-01 1.848450950886145264e-02
9.500000000000000666e-01 1.773830729937403081e-02
1.000000000000000000e+00 1.702938275677798666e-02
1.050000000000000044e+00 1.635711233800387840e-02
1.100000000000000089e+00 1.572051254252844477e-02
1.150000000000000133e+00 1.511833893622666590e-02
1.200000000000000178e+00 1.454916765835708586e-02
1.250000000000000000e+00 1.401146132821062297e-02
1.300000000000000044e+00 1.350362137391410318e-02
1.350000000000000089e+00 1.302402878354831997e-02
1.400000000000000133e+00 1.257107516372989175e-02
1.450000000000000178e+00 1.214318581789445954e-02
1.500000000000000000e+00 1.173883635463294529e-02
1.550000000000000044e+00 1.135656412714420097e-02
1.600000000000000089e+00 1.099497560278741952e-02
1.650000000000000133e+00 1.065275057571337704e-02
1.700000000000000178e+00 1.032864397016879272e-02
1.750000000000000000e+00 1.002148583882809391e-02
1.800000000000000044e+00 9.730180038980566770e-03
1.850000000000000089e+00 9.453701968006216969e-03
1.900000000000000133e+00 9.191095656141838599e-03
1.950000000000000178e+00 8.941470446695959709e-03
2.000000000000000000e+00 8.703997439273854914e-03
2.050000000000000266e+00 8.477905828045133318e-03
2.100000000000000089e+00 8.262479232684321120e-03
2.149999999999999911e+00 8.057052092654462538e-03
2.200000000000000178e+00 7.861006174554653961e-03
2.250000000000000000e+00 7.673767226118652189e-03
2.300000000000000266e+00 7.494801798147844411e-03
2.350000000000000089e+00 7.323614246382491658e-03
2.400000000000000355e+00 7.159743918409603239e-03
2.450000000000000178e+00 7.002762525650923879e-03
2.500000000000000000e+00 6.852271696852880144e-03
2.550000000000000266e+00 6.707900706981252334e-03
2.600000000000000089e+00 6.569304373745247193e-03
2.650000000000000355e+00 6.436161112933522915e-03
2.700000000000000178e+00 6.308171143178383650e-03
2.750000000000000000e+00 6.185054830549190780e-03
2.800000000000000266e+00 6.066551163415499770e-03
2.850000000000000089e+00 5.952416348240901697e-03
2.900000000000000355e+00 5.842422517312906814e-03
2.950000000000000178e+00 5.736356539840035268e-03
3.000000000000000000e+00 5.634018928322066973e-03
3.050000000000000266e+00 5.535222832599323052e-03
3.100000000000000089e+00 5.439793114494305588e-03
3.150000000000000355e+00 5.347565496461415685e-03
3.200000000000000178e+00 5.258385778148975780e-03
3.250000000000000000e+00 5.172109115246279788e-03
3.300000000000000266e+00 5.088599355433178623e-03
3.350000000000000089e+00 5.007728426668536792e-03
3.400000000000000355e+00 4.929375773445564268e-03
3.450000000000000178e+00 4.853427837006644985e-03
3.500000000000000000e+00 4.779777575848064355e-03
3.550000000000000266e+00 4.708324023157016945e-03
3.600000000000000089e+00 4.638971878110405983e-03
3.650000000000000355e+00 4.571631128228995609e-03
3.700000000000000178e+00 4.506216700222247760e-03
3.750000000000000000e+00 4.442648136980806468e-03
3.800000000000000266e+00 4.380849298576055401e-03
3.850000000000000089e+00 4.320748085311203537e-03
3.900000000000000355e+00 4.262276181037138144e-03
3.950000000000000178e+00 4.205368815100374476e-03
4.000000000000000000e+00 4.149964541430686653e-03
4.049999999999999822e+00 4.096005033404112594e-03
4.100000000000000533e+00 4.043434893233497848e-03
4.150000000000000355e+00 3.992201474744998431e-03
4.200000000000000178e+00 3.942254718495772497e-03
4.250000000000000000e+00 3.893546998276172996e-03
4.299999999999999822e+00 3.846032978120186505e-03
4.350000000000000533e+00 3.799669479020980310e-03
4.400000000000000355e+00 3.754415354615259996e-03
4.450000000000000178e+00 3.710231375160892402e-03
4.500000000000000000e+00 3.667080119187812477e-03
4.549999999999999822e+00 3.624925872252879929e-03
4.600000000000000533e+00 3.583734532275515642e-03
4.650000000000000355e+00 3.543473520973204789e-03
4.700000000000000178e+00 3.504111700954492658e-03
4.750000000000000000e+00 3.465619298062315359e-03
4.800000000000000711e+00 3.427967828592747446e-03
4.850000000000000533e+00 3.391130031043715787e-03
4.900000000000000355e+00 3.355079802075158421e-03
4.950000000000000178e+00 3.319792136386883787e-03
5.000000000000000000e+00 3.285243070242918010e-03
5.050000000000000711e+00 3.251409628391955034e-03
5.100000000000000533e+00 3.218269774152448474e-03
5.150000000000000355e+00 3.185802362448462901e-03
5.200000000000000178e+00 3.153987095598269775e-03
5.250000000000000000e+00 3.122804481672537217e-03
5.300000000000000711e+00 3.092235795252398691e-03
5.350000000000000533e+00 3.062263040430157450e-03
5.400000000000000355e+00 3.032868915906824104e-03
5.450000000000000178e+00 3.004036782051238298e-03
5.500000000000000000e+00 2.975750629795190488e-03
5.550000000000000711e+00 2.947995051247966503e-03
5.600000000000000533e+00 2.920755211921909414e-03
5.650000000000000355e+00 2.894016824468289336e-03
5.700000000000000178e+00 2.867766123829712868e-03
5.750000000000000000e+00 2.841989843721870208e-03
5.800000000000000711e+00 2.816675194363338613e-03
5.850000000000000533e+00 2.791809841377787451e-03
5.900000000000000355e+00 2.767381885797971612e-03
5.950000000000000178e+00 2.743379845105733007e-03
6.000000000000000000e+00 2.719792635246558003e-03
6.050000000000000711e+00 2.696609553561355593e-03
6.100000000000000533e+00 2.673820262581880214e-03
6.150000000000000355e+00 2.651414774639739014e-03
6.200000000000000178e+00 2.629383437242149499e-03
6.250000000000000000e+00 2.607716919170667037e-03
6.300000000000000711e+00 2.586406197261880736e-03
6.350000000000000533e+00 2.565442543831695631e-03
6.400000000000000355e+00 2.544817514707232130e-03
6.450000000000000178e+00 2.524522937832647008e-03
6.500000000000000000e+00 2.504550902417251087e-03
6.550000000000000711e+00 2.484893748596293198e-03
6.600000000000000533e+00 2.465544057576557740e-03
6.650000000000000355e+00 2.446494642240662140e-03
6.700000000000000178e+00 2.427738538185475817e-03
6.750000000000000000e+00 2.409268995171632601e-03
6.800000000000000711e+00 2.391079468962397508e-03
6.850000000000000533e+00 2.373163613531514404e-03
6.900000000000000355e+00 2.355515273620813806e-03
6.950000000000000178e+00 2.338128477629524121e-03
7.000000000000000000e+00 2.320997430818236978e-03
7.050000000000000711e+00 2.304116508811508268e-03
7.100000000000000533e+00 2.287480251383966316e-03
7.150000000000000355e+00 2.271083356515667812e-03
7.200000000000000178e+00 2.254920674703256474e-03
7.250000000000000000e+00 2.238987203514242793e-03
7.300000000000000711e+00 2.223278082372399239e-03
7.350000000000000533e+00 2.207788587562983969e-03
7.400000000000000355e+00 2.192514127447085879e-03
7.450000000000000178e+00 2.177450237874990584e-03
7.500000000000000000e+00 2.162592577789020261e-03
7.550000000000000711e+00 2.147936925006804689e-03
7.600000000000000533e+00 2.133479172176439530e-03
7.650000000000000355e+00 2.119215322895443704e-03
7.700000000000000178e+00 2.105141487985853158e-03
7.750000000000000000e+00 2.091253881918180794e-03
7.800000000000000711e+00 2.077548819377400807e-03
7.850000000000000533e+00 2.064022711964405392e-03
7.900000000000000355e+00 2.050672065026779879e-03
7.950000000000000178e+00 2.037493474613016886e-03
8.000000000000000000e+00 2.024483624544643531e-03
8.050000000000000711e+00 2.011639283600939569e-03
8.099999999999999645e+00 1.998957302811277779e-03
8.150000000000000355e+00 1.986434612850302220e-03
8.200000000000001066e+00 1.974068221531448831e-03
8.250000000000000000e+00 1.961855211394486747e-03
8.300000000000000711e+00 1.949792737383027573e-03
8.349999999999999645e+00 1.937878024608094942e-03
8.400000000000000355e+00 1.926108366194081512e-03
8.450000000000001066e+00 1.914481121203568011e-03
8.500000000000000000e+00 1.902993712637676476e-03
8.550000000000000711e+00 1.891643625508753878e-03
