# Frequency[Hz] Amplitude
0.000000000000000000e+00 1.061013582425238220e-03
5.000000000000000278e-02 2.140917371409120900e-03
1.000000000000000056e-01 2.197739512706459956e-03
1.500000000000000222e-01 2.293043367281276824e-03
2.000000000000000111e-01 2.428046202883440193e-03
2.500000000000000000e-01 2.605042655109597333e-03
3.000000000000000444e-01 2.827940216387690026e-03
3.500000000000000333e-01 3.102957064941893814e-03
4.000000000000000222e-01 3.439596925947545694e-03
4.500000000000000111e-01 3.852130198011591983e-03
5.000000000000000000e-01 4.362009261151156281e-03
5.500000000000000444e-01 5.002047546744767433e-03
6.000000000000000888e-01 5.824089439774673450e-03
6.500000000000000222e-01 6.914085843387181643e-03
7.000000000000000666e-01 8.424395098368441318e-03
7.500000000000000000e-01 1.065129620046326511e-02
8.000000000000000444e-01 1.425232540894281162e-02
8.500000000000000888e-01 2.101163073161976466e-02
9.000000000000000222e-01 3.774472200014721696e-02
9.500000000000000666e-01 1.182057379299502331e-01
1.000000000000000000e+00 1.983468987808753303e-01
1.050000000000000044e+00 2.981049151038843090e-02
1.100000000000000089e+00 1.764173655939445251e-02
1.150000000000000133e+00 1.307237802064591635e-02
1.200000000000000178e+00 1.050118423552986839e-02
1.250000000000000000e+00 8.823119736370774180e-03
1.300000000000000044e+00 7.634946643699094988e-03
1.350000000000000089e+00 6.747140228381195461e-03
1.400000000000000133e+00 6.057465899116194416e-03
1.450000000000000178e+00 5.505585389317943674e-03
1.500000000000000000e+00 5.053497772705995220e-03
1.550000000000000044e+00 4.676048917992628451e-03
1.600000000000000089e+00 4.355915218651385326e-03
1.650000000000000133e+00 4.080772602098394451e-03
1.700000000000000178e+00 3.841612968491006901e-03
1.750000000000000000e+00 3.631698986665755653e-03
1.800000000000000044e+00 3.445891339776437860e-03
1.850000000000000089e+00 3.280202137452761270e-03
1.900000000000000133e+00 3.131490412626065489e-03
1.950000000000000178e+00 2.997249490173993416e-03
2.000000000000000000e+00 2.875455161526014637e-03
2.050000000000000266e+00 2.764454706808301947e-03
2.100000000000000089e+00 2.662883246369883699e-03
2.149999999999999911e+00 2.569597327021279701e-03
2.200000000000000178e+00 2.483616666265157317e-03
2.250000000000000000e+00 2.404063456121463636e-03
2.300000000000000266e+00 2.330084199174366297e-03
2.350000000000000089e+00 2.260733913786092380e-03
2.400000000000000355e+00 2.194813596587102955e-03
2.450000000000000178e+00 2.130743346932396486e-03
2.500000000000000000e+00 2.066831706793868101e-03
2.550000000000000266e+00 2.002479679293404664e-03
2.600000000000000089e+00 1.939548659171671380e-03
2.650000000000000355e+00 1.881229483505054674e-03
2.700000000000000178e+00 1.829127635856513546e-03
2.750000000000000000e+00 1.782664955941033790e-03
2.800000000000000266e+00 1.740482648317812639e-03
2.850000000000000089e+00 1.701426738876913886e-03
2.900000000000000355e+00 1.664741156040136722e-03
2.950000000000000178e+00 1.629966841276696147e-03
3.000000000000000000e+00 1.596821958570168124e-03
3.050000000000000266e+00 1.565122972197109013e-03
3.100000000000000089e+00 1.534740325394651260e-03
3.150000000000000355e+00 1.505574857315017780e-03
3.200000000000000178e+00 1.477545399084934617e-03
3.250000000000000000e+00 1.450582186984650810e-03
3.300000000000000266e+00 1.424623282768223195e-03
3.350000000000000089e+00 1.399612558924781189e-03
3.400000000000000355e+00 1.375498509463712058e-03
3.450000000000000178e+00 1.352233504180652733e-03
3.500000000000000000e+00 1.329773286715048210e-03
3.550000000000000266e+00 1.308076610652112674e-03
3.600000000000000089e+00 1.287104956892402841e-03
3.650000000000000355e+00 1.266822301351462361e-03
3.700000000000000178e+00 1.247194915842719017e-03
3.750000000000000000e+00 1.228191192436885876e-03
3.800000000000000266e+00 1.209781485639913317e-03
3.850000000000000089e+00 1.191937968954915337e-03
3.900000000000000355e+00 1.174634503627276739e-03
3.950000000000000178e+00 1.157846518061946342e-03
4.000000000000000000e+00 1.141550896797468174e-03
4.049999999999999822e+00 1.125725878151264975e-03
4.100000000000000533e+00 1.110350959794278959e-03
4.150000000000000355e+00 1.095406811604570383e-03
4.200000000000000178e+00 1.080875195216884129e-03
4.250000000000000000e+00 1.066738889734756808e-03
4.299999999999999822e+00 1.052981623116503633e-03
4.350000000000000533e+00 1.039588008782029935e-03
4.400000000000000355e+00 1.026543487023507881e-03
4.450000000000000178e+00 1.013834270833838562e-03
4.500000000000000000e+00 1.001447295797157746e-03
4.549999999999999822e+00 9.893701737135462016e-04
4.600000000000000533e+00 9.775911496564071521e-04
4.650000000000000355e+00 9.660990621853239417e-04
4.700000000000000178e+00 9.548833064599695011e-04
4.750000000000000000e+00 9.439338000219150244e-04
4.800000000000000711e+00 9.332409510303867149e-04
4.850000000000000533e+00 9.227956287562566039e-04
4.900000000000000355e+00 9.125891361549248997e-04
4.950000000000000178e+00 9.026131843539367651e-04
5.000000000000000000e+00 8.928598689049090402e-04
5.050000000000000711e+00 8.833216476626102372e-04
5.100000000000000533e+00 8.739913201647353958e-04
5.150000000000000355e+00 8.648620083972420906e-04
5.200000000000000178e+00 8.559271388398147868e-04
5.250000000000000000e+00 8.471804256940689741e-04
5.300000000000000711e+00 8.386158552060982325e-04
5.350000000000000533e+00 8.302276710018954365e-04
5.400000000000000355e+00 8.220103603606240166e-04
5.450000000000000178e+00 8.139586413573104019e-04
5.500000000000000000e+00 8.060674508118841801e-04
5.550000000000000711e+00 7.983319329865319960e-04
5.600000000000000533e+00 7.907474289777580026e-04
5.650000000000000355e+00 7.833094667548024968e-04
5.700000000000000178e+00 7.760137517981006462e-04
5.750000000000000000e+00 7.688561582971892121e-04
5.800000000000000711e+00 7.618327208688097877e-04
5.850000000000000533e+00 7.549396267601000271e-04
5.900000000000000355e+00 7.481732085041494732e-04
5.950000000000000178e+00 7.415299369973105733e-04
6.000000000000000000e+00 7.350064149707662619e-04
6.050000000000000711e+00 7.285993708298626071e-04
6.100000000000000533e+00 7.223056528377487214e-04
6.150000000000000355e+00 7.161222236206797251e-04
6.200000000000000178e+00 7.100461549747678121e-04
6.250000000000000000e+00 7.040746229545773085e-04
6.300000000000000711e+00 6.982049032263536398e-04
6.350000000000000533e+00 6.924343666689491278e-04
6.400000000000000355e+00 6.867604752073450634e-04
6.450000000000000178e+00 6.811807778645484696e-04
6.500000000000000000e+00 6.756929070184602114e-04
6.550000000000000711e+00 6.702945748513677773e-04
6.600000000000000533e+00 6.649835699807924490e-04
6.650000000000000355e+00 6.597577542605035207e-04
6.700000000000000178e+00 6.546150597423005093e-04
6.750000000000000000e+00 6.495534857885538940e-04
6.800000000000000711e+00 6.445710963273660384e-04
6.850000000000000533e+00 6.396660172417031800e-04
6.900000000000000355e+00 6.348364338853715923e-04
6.950000000000000178e+00 6.300805887182179318e-04
7.000000000000000000e+00 6.253967790541465656e-04
7.050000000000000711e+00 6.207833549157890009e-04
7.100000000000000533e+00 6.162387169896306081e-04
7.150000000000000355e+00 6.117613146764494482e-04
7.200000000000000178e+00 6.073496442317475675e-04
7.250000000000000000e+00 6.030022469912477102e-04
7.300000000000000711e+00 5.987177076771864033e-04
7.350000000000000533e+00 5.944946527809031071e-04
7.400000000000000355e+00 5.903317490177382781e-04
7.450000000000000178e+00 5.862277018506132547e-04
7.500000000000000000e+00 5.821812540786901365e-04
7.550000000000000711e+00 5.781911844875799785e-04
7.600000000000000533e+00 5.742563065583402215e-04
7.650000000000000355e+00 5.703754672318722511e-04
7.700000000000000178e+00 5.665475457263275533e-04
7.750000000000000000e+00 5.627714524045624844e-04
7.800000000000000711e+00 5.590461276893954074e-04
7.850000000000000533e+00 5.553705410241590841e-04
7.900000000000000355e+00 5.517436898764795572e-04
7.950000000000000178e+00 5.481645987830589080e-04
8.000000000000000000e+00 5.446323184336407559e-04
8.050000000000000711e+00 5.411459247921130431e-04
8.099999999999999645e+00 5.377045182531111755e-04
8.150000000000000355e+00 5.343072228324682220e-04
8.200000000000001066e+00 5.309531853898609302e-04
8.250000000000000000e+00 5.276415748820960545e-04
8.300000000000000711e+00 5.243715816458744067e-04
8.349999999999999645e+00 5.211424167083749922e-04
8.400000000000000355e+00 5.179533111246130851e-04
8.450000000000001066e+00 5.148035153402591652e-04
8.500000000000000000e+00 5.116922985788579332e-04
8.550000000000000711e+00 5.086189482522196536e-04
8.599999999999999645e+00 5.055827693931526758e-04
8.650000000000000355e+00 5.025830841093775802e-04
8.700000000000001066e+00 4.996192310577611149e-04
8.750000000000000000e+00 4.966905649380687002e-04
8.800000000000000711e+00 4.937964560053009159e-04
8.849999999999999645e+00 4.909362895997417334e-04
8.900000000000000355e+00 4.881094656941832740e-04
8.950000000000001066e+00 4.853153984574528484e-04
9.000000000000000000e+00 4.825535158335067000e-04
9.050000000000000711e+00 4.798232591356090654e-04
9.099999999999999645e+00 4.771240826547911546e-04
9.150000000000000355e+00 4.744554532821716546e-04
9.200000000000001066e+00 4.718168501444218845e-04
9.250000000000000000e+00 4.692077642518822336e-04
9.300000000000000711e+00 4.666276981589074797e-04
9.349999999999999645e+00 4.640761656358275431e-04
9.400000000000000355e+00 4.615526913521270243e-04
9.450000000000001066e+00 4.590568105703028852e-04
9.500000000000000000e+00 4.565880688502072871e-04
9.550000000000000711e+00 4.541460217631390866e-04
9.600000000000001421e+00 4.517302346155693360e-04
9.650000000000000355e+00 4.493402821820021613e-04
9.700000000000001066e+00 4.469757484466261362e-04
9.750000000000000000e+00 4.446362263534736604e-04
9.800000000000000711e+00 4.423213175646687032e-04
9.850000000000001421e+00 4.400306322265554507e-04
9.900000000000000355e+00 4.377637887433291977e-04
9.950000000000001066e+00 4.355204135579594208e-04
1.000000000000000000e+01 4.333001409400771158e-04
1.005000000000000071e+01 4.311026127805715584e-04
1.010000000000000142e+01 4.289274783926753628e-04
1.015000000000000036e+01 4.267743943192960640e-04
1.020000000000000107e+01 4.246430241463481628e-04
1.025000000000000000e+01 4.225330383218624491e-04
1.030000000000000071e+01 4.204441139806881843e-04
1.035000000000000142e+01 4.183759347745843083e-04
1.040000000000000036e+01 4.163281907074742154e-04
1.045000000000000107e+01 4.143005779757210358e-04
1.050000000000000000e+01 4.122927988132195397e-04
1.055000000000000071e+01 4.103045613411361787e-04
1.060000000000000142e+01 4.083355794221649377e-04
1.065000000000000036e+01 4.063855725191004259e-04
1.070000000000000107e+01 4.044542655575700208e-04
1.075000000000000000e+01 4.025413887928831085e-04
1.080000000000000071e+01 4.006466776806874444e-04
1.085000000000000142e+01 3.987698727514440750e-04
1.090000000000000036e+01 3.969107194885632844e-04
1.095000000000000107e+01 3.950689682099936713e-04
1.100000000000000000e+01 3.932443739532678244e-04
1.105000000000000071e+01 3.914366963638266799e-04
1.110000000000000142e+01 3.896456995864212240e-04
1.115000000000000036e+01 3.878711521597891362e-04
1.120000000000000107e+01 3.861128269140545158e-04
1.125000000000000000e+01 3.843705008711944897e-04
1.130000000000000071e+01 3.826439551481886797e-04
1.135000000000000142e+01 3.809329748628546711e-04
1.140000000000000036e+01 3.792373490423281771e-04
1.145000000000000107e+01 3.775568705339920890e-04
1.150000000000000000e+01 3.758913359189541619e-04
1.155000000000000071e+01 3.742405454277172275e-04
1.160000000000000142e+01 3.726043028583040945e-04
1.165000000000000036e+01 3.709824154964616247e-04
1.170000000000000107e+01 3.693746940380841152e-04
1.175000000000000000e+01 3.677809525136673929e-04
1.180000000000000071e+01 3.662010082147899317e-04
1.185000000000000142e+01 3.646346816225448846e-04
1.190000000000000036e+01 3.630817963378569460e-04
1.195000000000000107e+01 3.615421790135994241e-04
1.200000000000000000e+01 3.600156592885342898e-04
1.205000000000000071e+01 3.585020697229201092e-04
1.210000000000000142e+01 3.570012457358250459e-04
1.215000000000000036e+01 3.555130255440430188e-04
1.220000000000000107e+01 3.540372501025697023e-04
1.225000000000000000e+01 3.525737630465922341e-04
1.230000000000000071e+01 3.511224106349873208e-04
1.235000000000000142e+01 3.496830416952230046e-04
1.240000000000000036e+01 3.482555075696344943e-04
1.245000000000000107e+01 3.468396620631207885e-04
1.250000000000000000e+01 3.454353613920345184e-04
1.255000000000000071e+01 3.440424641344558819e-04
1.260000000000000142e+01 3.426608311816346439e-04
1.265000000000000036e+01 3.412903256906451416e-04
1.270000000000000107e+01 3.399308130381991635e-04
1.275000000000000000e+01 3.385821607756338866e-04
1.280000000000000071e+01 3.372442385848925094e-04
1.285000000000000142e+01 3.359169182356997298e-04
1.290000000000000036e+01 3.346000735436969586e-04
1.295000000000000107e+01 3.332935803295786854e-04
1.300000000000000000e+01 3.319973163792567768e-04
1.305000000000000071e+01 3.307111614049243909e-04
1.310000000000000142e+01 3.294349970070968125e-04
1.315000000000000036e+01 3.281687066375111391e-04
1.320000000000000107e+01 3.269121755629008632e-04
1.325000000000000000e+01 3.256652908296650854e-04
1.330000000000000071e+01 3.244279412292858252e-04
1.335000000000000142e+01 3.232000172646741693e-04
1.340000000000000036e+01 3.219814111171299693e-04
1.345000000000000107e+01 3.207720166142271766e-04
1.350000000000000000e+01 3.195717291983404839e-04
1.355000000000000071e+01 3.183804458959299858e-04
1.360000000000000142e+01 3.171980652874892628e-04
1.365000000000000036e+01 3.160244874782680742e-04
1.370000000000000107e+01 3.148596140695350911e-04
1.375000000000000000e+01 3.137033481305837425e-04
1.380000000000000071e+01 3.125555941713336131e-04
1.385000000000000142e+01 3.114162581155490231e-04
1.390000000000000036e+01 3.102852472746253512e-04
1.395000000000000107e+01 3.091624703220496222e-04
1.400000000000000000e+01 3.080478372682829034e-04
1.405000000000000071e+01 3.069412594363441806e-04
1.410000000000000142e+01 3.058426494378421712e-04
1.415000000000000036e+01 3.047519211495449028e-04
1.420000000000000107e+01 3.036689896904727973e-04
1.425000000000000000e+01 3.025937713995075114e-04
1.430000000000000071e+01 3.015261838134460580e-04
1.435000000000000142e+01 3.004661456455391330e-04
1.440000000000000036e+01 2.994135767645272526e-04
1.445000000000000107e+01 2.983683981740837383e-04
1.450000000000000000e+01 2.973305319926991888e-04
1.455000000000000071e+01 2.962999014340180100e-04
1.460000000000000142e+01 2.952764307875816287e-04
1.465000000000000036e+01 2.942600453999745969e-04
1.470000000000000107e+01 2.932506716563462626e-04
1.475000000000000000e+01 2.922482369623760970e-04
1.480000000000000071e+01 2.912526697265545241e-04
1.485000000000000142e+01 2.902638993428648508e-04
1.490000000000000036e+01 2.892818561738286763e-04
1.495000000000000107e+01 2.883064715338788924e-04
1.500000000000000000e+01 2.873376776730830989e-04
1.505000000000000071e+01 2.863754077612417183e-04
1.510000000000000142e+01 2.854195958722126553e-04
1.515000000000000036e+01 2.844701769686753287e-04
1.520000000000000107e+01 2.835270868871022200e-04
1.525000000000000000e+01 2.825902623231232825e-04
1.530000000000000071e+01 2.816596408170935839e-04
1.535000000000000142e+01 2.807351607400284397e-04
1.540000000000000036e+01 2.798167612797920322e-04
1.545000000000000107e+01 2.789043824275378911e-04
1.550000000000000000e+01 2.779979649644428660e-04
1.555000000000000071e+01 2.770974504487268416e-04
1.560000000000000142e+01 2.762027812028843054e-04
1.565000000000000036e+01 2.753139003011853938e-04
1.570000000000000107e+01 2.744307515574337863e-04
1.575000000000000000e+01 2.735532795129371570e-04
1.580000000000000071e+01 2.726814294247614161e-04
1.585000000000000142e+01 2.718151472541429736e-04
1.590000000000000036e+01 2.709543796551786140e-04
1.595000000000000107e+01 2.700990739637401791e-04
1.600000000000000000e+01 2.692491781865376244e-04
1.605000000000000071e+01 2.684046409904635886e-04
1.610000000000000142e+01 2.675654116921127911e-04
1.615000000000000213e+01 2.667314402474874773e-04
1.619999999999999929e+01 2.659026772419264282e-04
1.625000000000000000e+01 2.650790738801939964e-04
1.630000000000000071e+01 2.642605819767880442e-04
1.635000000000000142e+01 2.634471539464003733e-04
1.640000000000000213e+01 2.626387427945877620e-04
1.644999999999999929e+01 2.618353021085828634e-04
1.650000000000000000e+01 2.610367860482891477e-04
1.655000000000000071e+01 2.602431493374846071e-04
1.660000000000000142e+01 2.594543472550868814e-04
1.665000000000000213e+01 2.586703356267049374e-04
1.669999999999999929e+01 2.578910708162488082e-04
1.675000000000000000e+01 2.571165097177407219e-04
1.680000000000000071e+01 2.563466097472608357e-04
1.685000000000000142e+01 2.555813288350473043e-04
1.690000000000000213e+01 2.548206254177359949e-04
1.694999999999999929e+01 2.540644584307203313e-04
1.700000000000000000e+01 2.533127873007071074e-04
1.705000000000000071e+01 2.525655719383299806e-04
1.710000000000000142e+01 2.518227727309671742e-04
1.715000000000000213e+01 2.510843505356176193e-04
1.719999999999999929e+01 2.503502666719773471e-04
1.725000000000000000e+01 2.496204829155900971e-04
1.730000000000000071e+01 2.488949614911029279e-04
1.735000000000000142e+01 2.481736650657186669e-04
1.740000000000000213e+01 2.474565567426934617e-04
1.744999999999999929e+01 2.467436000549516422e-04
1.750000000000000000e+01 2.460347589588547028e-04
1.755000000000000071e+01 2.453299978280443889e-04
1.760000000000000142e+01 2.446292814474236403e-04
1.765000000000000213e+01 2.439325750071874078e-04
1.769999999999999929e+01 2.432398440970239060e-04
1.775000000000000000e+01 2.425510547003612136e-04
1.780000000000000071e+01 2.418661731887489913e-04
1.785000000000000142e+01 2.411851663163288347e-04
1.790000000000000213e+01 2.405080012143636606e-04
1.794999999999999929e+01 2.398346453859313235e-04
1.800000000000000000e+01 2.391650667006416510e-04
1.805000000000000071e+01 2.384992333894563423e-04
1.810000000000000142e+01 2.378371140396622822e-04
1.815000000000000213e+01 2.371786775898056330e-04
1.819999999999999929e+01 2.365238933248399488e-04
1.825000000000000000e+01 2.358727308712677570e-04
1.830000000000000071e+01 2.352251601924090459e-04
1.835000000000000142e+01 2.345811515837059916e-04
1.840000000000000213e+01 2.339406756681776303e-04
1.844999999999999929e+01 2.333037033918547432e-04
1.850000000000000000e+01 2.326702060193834988e-04
1.855000000000000071e+01 2.320401551296360056e-04
1.860000000000000142e+01 2.314135226114049997e-04
1.865000000000000213e+01 2.307902806592038354e-04
1.869999999999999929e+01 2.301704017691196826e-04
1.875000000000000000e+01 2.295538587346709534e-04
1.880000000000000071e+01 2.289406246428548155e-04
1.885000000000000142e+01 2.283306728701407404e-04
1.890000000000000213e+01 2.277239770786059728e-04
1.894999999999999929e+01 2.271205112120979700e-04
1.900000000000000000e+01 2.265202494924556864e-04
1.905000000000000071e+01 2.259231664158295743e-04
1.910000000000000142e+01 2.253292367490158693e-04
1.915000000000000213e+01 2.247384355258540307e-04
1.920000000000000284e+01 2.241507380437217595e-04
1.925000000000000000e+01 2.235661198600484480e-04
1.930000000000000071e+01 2.229845567888813767e-04
1.935000000000000142e+01 2.224060248975329266e-04
1.940000000000000213e+01 2.218305005032675562e-04
1.945000000000000284e+01 2.212579601700247732e-04
1.950000000000000000e+01 2.206883807052225537e-04
1.955000000000000071e+01 2.201217391565834223e-04
1.960000000000000142e+01 2.195580128090386749e-04
1.965000000000000213e+01 2.189971791816540695e-04
1.970000000000000284e+01 2.184392160246094829e-04
1.975000000000000000e+01 2.178841013162331568e-04
1.980000000000000071e+01 2.173318132600993429e-04
1.985000000000000142e+01 2.167823302821111214e-04
1.990000000000000213e+01 2.162356310276836982e-04
1.995000000000000284e+01 2.156916943589716387e-04
2.000000000000000000e+01 2.151504993520954789e-04
2.005000000000000071e+01 2.146120252944329820e-04
2.010000000000000142e+01 2.140762516819780486e-04
2.015000000000000213e+01 2.135431582166892194e-04
2.020000000000000284e+01 2.130127248039167815e-04
2.025000000000000000e+01 2.124849315498618873e-04
2.030000000000000071e+01 2.119597587590512028e-04
2.035000000000000142e+01 2.114371869318801061e-04
2.040000000000000213e+01 2.109171967621721751e-04
2.045000000000000284e+01 2.103997691347783033e-04
2.050000000000000000e+01 2.098848851232231133e-04
2.055000000000000071e+01 2.093725259873754137e-04
2.060000000000000142e+01 2.088626731711509365e-04
2.065000000000000213e+01 2.083553083002542697e-04
2.070000000000000284e+01 2.078504131799617993e-04
2.075000000000000000e+01 2.073479697929084189e-04
2.080000000000000071e+01 2.068479602969698931e-04
2.085000000000000142e+01 2.063503670230624966e-04
2.090000000000000213e+01 2.058551724731310598e-04
2.095000000000000284e+01 2.053623593179982102e-04
2.100000000000000000e+01 2.048719103953938888e-04
2.105000000000000071e+01 2.043838087078979685e-04
2.110000000000000142e+01 2.038980374210061725e-04
2.115000000000000213e+01 2.034145798611343837e-04
2.120000000000000284e+01 2.029334195137214806e-04
2.125000000000000000e+01 2.024545400213403044e-04
2.130000000000000071e+01 2.019779251818016339e-04
2.135000000000000142e+01 2.015035589463482564e-04
2.140000000000000213e+01 2.010314254178088161e-04
2.145000000000000284e+01 2.005615088488251158e-04
2.150000000000000000e+01 2.000937936400839460e-04
2.155000000000000071e+01 1.996282643385837710e-04
2.160000000000000142e+01 1.991649056359074863e-04
2.165000000000000213e+01 1.987037023665429625e-04
2.170000000000000284e+01 1.982446395062025587e-04
2.175000000000000000e+01 1.977877021702087186e-04
2.180000000000000071e+01 1.973328756118320241e-04
2.185000000000000142e+01 1.968801452207370186e-04
2.190000000000000213e+01 1.964294965213605657e-04
2.195000000000000284e+01 1.959809151714010948e-04
2.200000000000000000e+01 1.955343869602611448e-04
2.205000000000000071e+01 1.950898978075329504e-04
2.210000000000000142e+01 1.946474337615321942e-04
2.215000000000000213e+01 1.942069809977964951e-04
2.220000000000000284e+01 1.937685258176657813e-04
2.225000000000000000e+01 1.933320546468300009e-04
2.230000000000000071e+01 1.928975540339202292e-04
2.235000000000000142e+01 1.924650106491354715e-04
2.240000000000000213e+01 1.920344112828566195e-04
2.245000000000000284e+01 1.916057428442790830e-04
2.250000000000000000e+01 1.911789923601165439e-04
2.255000000000000071e+01 1.907541469732297124e-04
2.260000000000000142e+01 1.903311939413833973e-04
2.265000000000000213e+01 1.899101206359149702e-04
2.270000000000000284e+01 1.894909145405029285e-04
2.275000000000000000e+01 1.890735632498958857e-04
2.280000000000000071e+01 1.886580544687035770e-04
2.285000000000000142e+01 1.882443760101516804e-04
2.290000000000000213e+01 1.878325157949200402e-04
2.295000000000000284e+01 1.874224618499153224e-04
2.300000000000000000e+01 1.870142023071449900e-04
2.305000000000000071e+01 1.866077254025334895e-04
2.310000000000000142e+01 1.862030194748201593e-04
2.315000000000000213e+01 1.858000729643833585e-04
2.320000000000000284e+01 1.853988744121908233e-04
2.325000000000000000e+01 1.849994124586651855e-04
2.330000000000000071e+01 1.846016758426323500e-04
2.335000000000000142e+01 1.842056534002345554e-04
2.340000000000000213e+01 1.838113340638936055e-04
2.345000000000000284e+01 1.834187068612709299e-04
2.350000000000000000e+01 1.830277609142332007e-04
2.355000000000000071e+01 1.826384854378674161e-04
2.360000000000000142e+01 1.822508697394501767e-04
2.365000000000000213e+01 1.818649032174896572e-04
2.370000000000000284e+01 1.814805753607338869e-04
2.375000000000000000e+01 1.810978757472221266e-04
2.380000000000000071e+01 1.807167940433438086e-04
2.385000000000000142e+01 1.803373200028780962e-04
2.390000000000000213e+01 1.799594434660915559e-04
2.395000000000000284e+01 1.795831543588284585e-04
2.400000000000000000e+01 1.792084426915950340e-04
2.405000000000000071e+01 1.788352985586776902e-04
2.410000000000000142e+01 1.784637121372634541e-04
2.415000000000000213e+01 1.780936736865800364e-04
2.420000000000000284e+01 1.777251735470266269e-04
2.425000000000000000e+01 1.773582021393520691e-04
2.430000000000000071e+01 1.769927499637792589e-04
2.435000000000000142e+01 1.766288075992326228e-04
2.440000000000000213e+01 1.762663657024770452e-04
2.445000000000000284e+01 1.759054150073505781e-04
2.450000000000000000e+01 1.755459463239421823e-04
2.455000000000000071e+01 1.751879505378228926e-04
2.460000000000000142e+01 1.748314186092735404e-04
2.465000000000000213e+01 1.744763415725066763e-04
2.470000000000000284e+01 1.741227105349204217e-04
2.475000000000000000e+01 1.737705166763547340e-04
2.480000000000000071e+01 1.734197512483485375e-04
2.485000000000000142e+01 1.730704055734042554e-04
2.490000000000000213e+01 1.727224710442919144e-04
2.495000000000000284e+01 1.723759391233058971e-04
2.500000000000000000e+01 1.720308013416009768e-04
2.505000000000000071e+01 1.716870492984544361e-04
2.510000000000000142e+01 1.713446746606260356e-04
2.515000000000000213e+01 1.710036691616519274e-04
2.520000000000000284e+01 1.706640246011856493e-04
2.525000000000000000e+01 1.703257328443271129e-04
2.530000000000000071e+01 1.699887858209961507e-04
2.535000000000000142e+01 1.696531755252560832e-04
2.540000000000000213e+01 1.693188940146917658e-04
2.545000000000000284e+01 1.689859334097894522e-04
2.550000000000000000e+01 1.686542858932951912e-04
2.555000000000000071e+01 1.683239437096026043e-04
2.560000000000000142e+01 1.679948991641690701e-04
2.565000000000000213e+01 1.676671446228846917e-04
2.570000000000000284e+01 1.673406725114958262e-04
2.575000000000000000e+01 1.670154753150104540e-04
2.580000000000000071e+01 1.666915455771389475e-04
2.585000000000000142e+01 1.663688758996857524e-04
2.590000000000000213e+01 1.660474589420206761e-04
2.595000000000000284e+01 1.657272874204922264e-04
2.600000000000000000e+01 1.654083541078899553e-04
2.605000000000000071e+01 1.650906518328952024e-04
2.610000000000000142e+01 1.647741734795414874e-04
2.615000000000000213e+01 1.644589119866688581e-04
2.620000000000000284e+01 1.641448603474160233e-04
2.625000000000000000e+01 1.638320116086831846e-04
2.630000000000000071e+01 1.635203588706269338e-04
2.635000000000000142e+01 1.632098952861456363e-04
2.640000000000000213e+01 1.629006140603779333e-04
2.645000000000000284e+01 1.625925084502017866e-04
2.650000000000000000e+01 1.622855717637404884e-04
2.655000000000000071e+01 1.619797973598834442e-04
2.660000000000000142e+01 1.616751786478000711e-04
2.665000000000000213e+01 1.613717090864701207e-04
2.670000000000000284e+01 1.610693821842023210e-04
2.675000000000000000e+01 1.607681914981755962e-04
2.680000000000000071e+01 1.604681306339824547e-04
2.685000000000000142e+01 1.601691932451776088e-04
2.690000000000000213e+01 1.598713730328103853e-04
2.695000000000000284e+01 1.595746637450014261e-04
2.700000000000000000e+01 1.592790591764952648e-04
2.705000000000000071e+01 1.589845531682168881e-04
2.710000000000000142e+01 1.586911396068606066e-04
2.715000000000000213e+01 1.583988124244546116e-04
2.720000000000000284e+01 1.581075655979356158e-04
2.725000000000000000e+01 1.578173931487465329e-04
2.730000000000000071e+01 1.575282891424128800e-04
2.735000000000000142e+01 1.572402476881483446e-04
2.740000000000000213e+01 1.569532629384443056e-04
2.745000000000000284e+01 1.566673290886801714e-04
2.750000000000000000e+01 1.563824403767228482e-04
2.755000000000000071e+01 1.560985910825353972e-04
2.760000000000000142e+01 1.558157755278113607e-04
2.765000000000000213e+01 1.555339880755754228e-04
2.770000000000000284e+01 1.552532231298073815e-04
2.775000000000000000e+01 1.549734751350916257e-04
2.780000000000000071e+01 1.546947385762279068e-04
2.785000000000000142e+01 1.544170079778617885e-04
2.790000000000000213e+01 1.541402779041650239e-04
2.795000000000000284e+01 1.538645429584225286e-04
2.800000000000000000e+01 1.535897977827305660e-04
2.805000000000000071e+01 1.533160370576173851e-04
2.810000000000000142e+01 1.530432555017172548e-04
2.815000000000000213e+01 1.527714478714082863e-04
2.820000000000000284e+01 1.525006089604950062e-04
2.825000000000000000e+01 1.522307335998747196e-04
2.830000000000000071e+01 1.519618166571830038e-04
2.835000000000000142e+01 1.516938530365052559e-04
2.840000000000000213e+01 1.514268376780230263e-04
2.845000000000000284e+01 1.511607655576987597e-04
2.850000000000000000e+01 1.508956316869754439e-04
2.855000000000000071e+01 1.506314311124535448e-04
2.860000000000000142e+01 1.503681589155693237e-04
2.865000000000000213e+01 1.501058102123186907e-04
