# Frequency[Hz] Amplitude
0.000000000000000000e+00 3.977553773147685296e-04
5.000000000000000278e-02 1.020794139767394054e-03
1.000000000000000056e-01 1.514631733439286958e-03
1.500000000000000222e-01 2.113194801031809122e-03
2.000000000000000111e-01 2.773824532403013857e-03
2.500000000000000000e-01 3.492253060956383021e-03
3.000000000000000444e-01 4.277266182765022788e-03
3.500000000000000333e-01 5.145148522536445966e-03
4.000000000000000222e-01 6.119405747026353606e-03
4.500000000000000111e-01 7.232809173447794955e-03
5.000000000000000000e-01 8.531599337593381155e-03
5.500000000000000444e-01 1.008294138199686447e-02
6.000000000000000888e-01 1.198830190040588162e-02
6.500000000000000222e-01 1.440872107486852738e-02
7.000000000000000666e-01 1.761620533546019718e-02
7.500000000000000000e-01 2.210884454826365225e-02
8.000000000000000444e-01 2.890405218010843810e-02
8.500000000000000888e-01 4.043066808247821470e-02
9.000000000000000222e-01 6.402176989623707681e-02
9.500000000000000666e-01 1.291253183948055105e-01
1.000000000000000000e+00 1.685337069858618697e-01
1.050000000000000044e+00 8.113894924504543027e-02
1.100000000000000089e+00 5.015760653245045914e-02
1.150000000000000133e+00 3.618740139978222220e-02
1.200000000000000178e+00 2.833551365438886568e-02
1.250000000000000000e+00 2.330424963947109671e-02
1.300000000000000044e+00 1.979365348493831306e-02
1.350000000000000089e+00 1.719303000886756791e-02
1.400000000000000133e+00 1.517863525928090339e-02
1.450000000000000178e+00 1.356306079536087790e-02
1.500000000000000000e+00 1.223030091059827164e-02
1.550000000000000044e+00 1.110464995449875723e-02
1.600000000000000089e+00 1.013454343534324863e-02
1.650000000000000133e+00 9.283611182742523144e-03
1.700000000000000178e+00 8.525476633188765890e-03
1.750000000000000000e+00 7.840637544015139487e-03
1.800000000000000044e+00 7.214594000858369320e-03
1.850000000000000089e+00 6.636812086759036333e-03
1.900000000000000133e+00 6.100362322387055218e-03
1.950000000000000178e+00 5.602265637633980708e-03
2.000000000000000000e+00 5.144780667169036002e-03
2.050000000000000266e+00 4.738086806836871480e-03
2.100000000000000089e+00 4.404890131579265559e-03
2.149999999999999911e+00 4.186662408664418994e-03
2.200000000000000178e+00 4.147904331347385294e-03
2.250000000000000000e+00 4.369582548785159136e-03
2.300000000000000266e+00 4.926824527772961405e-03
2.350000000000000089e+00 5.865494971311707890e-03
2.400000000000000355e+00 7.189806065312572166e-03
2.450000000000000178e+00 8.836774238545565610e-03
2.500000000000000000e+00 1.061494258503448834e-02
2.550000000000000266e+00 1.216840458275771433e-02
2.600000000000000089e+00 1.311628384650460714e-02
2.650000000000000355e+00 1.332820943184690604e-02
2.700000000000000178e+00 1.298142616149631015e-02
2.750000000000000000e+00 1.234849491645479899e-02
2.800000000000000266e+00 1.162900721253205122e-02
2.850000000000000089e+00 1.092641670587265156e-02
2.900000000000000355e+00 1.028200205779444994e-02
2.950000000000000178e+00 9.706188701486316225e-03
3.000000000000000000e+00 9.196385909870501488e-03
3.050000000000000266e+00 8.745474234243898193e-03
3.100000000000000089e+00 8.345452436447383174e-03
3.150000000000000355e+00 7.988848901746775991e-03
3.200000000000000178e+00 7.669163730147694584e-03
3.250000000000000000e+00 7.380915410775909860e-03
